a52dec 0.7.4-9
sbsms 2.0.2-2
schroedinger 1.0.11-3
screen 4.4.0-1
screenfetch 3.7.0-1
scrnsaverproto 1.2.2-2
scrot 0.8.13-1
sdl 1.2.15-7
sdl2 2.0.5-3
sdl_image 1.2.12-3
sed 4.2.2-4
serd 0.22.0-1
shadow 4.4-3
shared-mime-info 1.8-1
simplescreenrecorder 0.3.7-1
slang 2.3.0-1
smbclient 4.5.1-1
smplayer 16.11.0-1
snappy 1.1.3-2
sord 0.14.0-1
soundtouch 1.9.2-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.19.3-1
sratom 0.4.6-1
startup-notification 0.12-4
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
systemd 232-8
systemd-sysvcompat 231-4
taglib 1.11.1-1
talloc 2.1.8-1
tar 1.29-2
tdb 1.3.11-1
terminator 0.98-2
tevent 1:0.9.31-1
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
thunderbird 45.4.0-1
tint2 0.12.12-1
tmux 2.3-1
transmission-cli 2.92-5
tslib 1.1-1
ttf-monaco 6.1-3
tzdata 2017b-1
ufw 0.35-2
unibilium 1.2.0-1
usbutils 008-1
util-linux 2.29.2-2
v4l-utils 1.12.5-1
vamp-plugin-sdk 2.6-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim-runtime 8.0.0055-1
vlc 2.2.4-5
vte 0.28.2-8
vte-common 0.46.1-1
vte3 0.46.1-1
wavpack 4.80.0-1
wayland 1.13.0-1
wayland-protocols 1.8-1
webrtc-audio-processing 0.3-1
wget 1.18-1
which 2.21-2
wireless_tools 30.pre9-1
wpa_actiond 1.4-2
wpa_supplicant 1:2.6-1
wxgtk-common 3.0.3.1-6
wxgtk2 3.0.3.1-6
x265 2.4-1
xbitmaps 1.1.1-3
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcompmgr 1.1.7-2
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-evdev 2.10.4-1
xf86-input-synaptics 1.8.99.1-1
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfce4-terminal 0.8.1-1
xfconf 4.12.1-1
xfsprogs 4.7.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-1
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-4
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-2
xorg-mkfontscale 1.1.2-1
xorg-server 1.18.4-1
xorg-server-common 1.18.4-1
xorg-server-utils 7.6-4
xorg-sessreg 1.1.0-1
xorg-setxkbmap 1.3.1-1
xorg-xauth 1.0.9-1
xorg-xbacklight 1.2.1-1
xorg-xcmsdb 1.0.5-1
xorg-xdpyinfo 1.3.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.3.1-1
xorg-xmodmap 1.0.9-1
